list_code,list_title,mapped_category,mapped_subcategory
BE-00-00-00-00,"Public Benefits",Administrative Law,General (State)
BE-01-00-00-00,"Disability public benefits",Administrative Law,SSD (Social Security Disability)
BE-01-01-00-00,"State and local benefits for the disabled",Administrative Law,General (State)
BE-01-02-00-00,"Social Security Disability Insurance (SSDI)",Administrative Law,SSD (Social Security Disability)
BE-01-03-00-00,"Supplemental Security Income (SSI)",Administrative Law,Social Security/SSI
BE-01-03-00-00,"Overpayment of Social Security",Administrative Law,SSD (Social Security Disability)
BE-01-04-00-00,"In-home supportive service disability benefits",Administrative Law,Medicare/Medicaid
BE-02-00-00-00,"Food and Cash benefits",Administrative Law,Welfare
BE-02-01-00-00,"SNAP (Food Stamp) benefits",Administrative Law,Welfare
BE-02-01-01-00,"Eligibility and Applications for SNAP (food stamp) benefits",Administrative Law,Welfare
BE-02-01-01-01,"Determining eligibility for SNAP (food stamp) benefits",Administrative Law,Welfare
BE-02-01-01-02,"Expedited issuance of SNAP benefits",Administrative Law,Welfare
BE-02-01-01-03,"Immigrants' Eligibility for SNAP benefits",Administrative Law,Welfare
BE-02-01-01-04,"Disability and eligibility for SNAP food stamps",Administrative Law,Welfare
BE-02-01-02-00,"Emergency SNAP (food stamp) benefits",Administrative Law,Welfare
BE-02-01-03-00,"Electronic Benefits Transfer (EBT) system and cards",Administrative Law,Welfare
BE-02-01-04-00,"Fraud in getting SNAP benefits",Administrative Law,Welfare
BE-02-01-05-00,"Being charged with Intentional Program Violations of SNAP",Administrative Law,Welfare
BE-02-01-06-00,"Underpayment of SNAP benefits",Administrative Law,Welfare
BE-02-01-07-00,"Overpayment and Recoupment of SNAP benefits",Administrative Law,Welfare
BE-02-01-08-00,"Reduction or Termination of SNAP benefits",Administrative Law,Welfare
BE-02-02-00-00,"Temporary Assistance for Needy Families benefits (TANF)",Administrative Law,Welfare
BE-02-02-01-00,"Applications and Eligibility for TANF",Administrative Law,Welfare
BE-02-02-01-01,"Application process for TANF benefits",Administrative Law,Welfare
BE-02-02-01-02,"Eligibility standards for TANF benefits",Administrative Law,Welfare
BE-02-02-01-03,"Income, assets, and eligibility for TANF benefits",Administrative Law,Welfare
BE-02-02-01-04,"Available income for TANF benefits",Administrative Law,Welfare
BE-02-02-01-05,"Income disregards for TANF benefits",Administrative Law,Welfare
BE-02-02-01-06,"Assets and resources' effect on TANF benefits eligibility",Administrative Law,Welfare
BE-02-02-01-07,"Defining the family unit for TANF eligibility",Administrative Law,Welfare
BE-02-02-01-08,"Immigrants' Eligibility for TANF benefits",Administrative Law,Welfare
BE-02-02-01-09,"Residency requirements to receive TANF",Administrative Law,Welfare
BE-02-02-01-11,"Teen parents' eligibility for TANF",Administrative Law,Welfare
BE-02-02-03-00,"Amount of money received through TANF",Administrative Law,Welfare
BE-02-02-03-01,"Child-Only TANF benefit calculations",Administrative Law,Welfare
BE-02-02-03-02,"Child exclusions and family caps for TANF benefit calculations",Administrative Law,Welfare
BE-02-02-03-03,"Money sanctions for TANF recipients",Administrative Law,Welfare
BE-02-02-03-04,"Housing or Shelter Allowance on TANF",Administrative Law,Welfare
BE-02-02-03-05,"TANF standards to calculate financial need",Administrative Law,Welfare
BE-02-02-03-06,"TANF amounts for support services",Administrative Law,Welfare
