category,subcategory_id,description_de,description_en
finanziell,kommunale_eingliederungsleistungen_kinderbetreuung_SGBII,Kinderbetreuung oder Angehörigenpflege während beruflicher Eingliederung (Jobcenter),Kinderbetreuung oder Angehörigenpflege während beruflicher Eingliederung (Jobcenter)
arbeit,kommunale_eingliederungsleistungen_kinderbetreuung_SGBII,Kinderbetreuung oder Angehörigenpflege während beruflicher Eingliederung (Jobcenter),Kinderbetreuung oder Angehörigenpflege während beruflicher Eingliederung (Jobcenter)
kinder_familie,kommunale_eingliederungsleistungen_kinderbetreuung_SGBII,Kinderbetreuung oder Angehörigenpflege während beruflicher Eingliederung (Jobcenter),Kinderbetreuung oder Angehörigenpflege während beruflicher Eingliederung (Jobcenter)
finanziell,kommunale_eingliederungsleistungen_schuldnerberatung_SGBII,Schuldnerberatung während beruflicher Eingliederung (Jobcenter),Schuldnerberatung während beruflicher Eingliederung (Jobcenter)
arbeit,kommunale_eingliederungsleistungen_schuldnerberatung_SGBII,Schuldnerberatung während beruflicher Eingliederung (Jobcenter),Schuldnerberatung während beruflicher Eingliederung (Jobcenter)
finanziell,kommunale_eingliederungsleistungen_psychosozial_SGBII,Psychosoziale Betreuung während beruflicher Eingliederung (Jobcenter),Psychosoziale Betreuung während beruflicher Eingliederung (Jobcenter)
arbeit,kommunale_eingliederungsleistungen_psychosozial_SGBII,Psychosoziale Betreuung während beruflicher Eingliederung (Jobcenter),Psychosoziale Betreuung während beruflicher Eingliederung (Jobcenter)
krankheit,kommunale_eingliederungsleistungen_psychosozial_SGBII,Psychosoziale Betreuung während beruflicher Eingliederung (Jobcenter),Psychosoziale Betreuung während beruflicher Eingliederung (Jobcenter)
finanziell,kommunale_eingliederungsleistungen_suchtberatung_SGBII,Suchtberatung während beruflicher Eingliederung (Jobcenter),Suchtberatung während beruflicher Eingliederung (Jobcenter)
arbeit,kommunale_eingliederungsleistungen_suchtberatung_SGBII,Suchtberatung während beruflicher Eingliederung (Jobcenter),Suchtberatung während beruflicher Eingliederung (Jobcenter)
krankheit,kommunale_eingliederungsleistungen_suchtberatung_SGBII,Suchtberatung während beruflicher Eingliederung (Jobcenter),Suchtberatung während beruflicher Eingliederung (Jobcenter)
finanziell,einstiegsgeld_SGBII,Einstiegsgeld (Arbeitsagentur),Einstiegsgeld (Arbeitsagentur)
arbeit,einstiegsgeld_SGBII,Einstiegsgeld (Arbeitsagentur),Einstiegsgeld (Arbeitsagentur)
finanziell,eingliederung_selbstständiger_SGBII,Zuschüsse und Darlehen für Selbstständige (Arbeitsagentur),Zuschüsse und Darlehen für Selbstständige (Arbeitsagentur)
arbeit,eingliederung_selbstständiger_SGBII,Zuschüsse und Darlehen für Selbstständige (Arbeitsagentur),Zuschüsse und Darlehen für Selbstständige (Arbeitsagentur)
finanziell,wegfall_hilfebeduerftigkeit_SGBII,Förderung bei Wegfall der Hilfebedürftigkeit (Arbeitsagentur),Förderung bei Wegfall der Hilfebedürftigkeit (Arbeitsagentur)
arbeit,wegfall_hilfebeduerftigkeit_SGBII,Förderung bei Wegfall der Hilfebedürftigkeit (Arbeitsagentur),Förderung bei Wegfall der Hilfebedürftigkeit (Arbeitsagentur)
finanziell,schwer_erreichbare_junge_menschen_SGBII,"Unterstützung für junge Menschen in schwierigen Lebenslagen, sog. 'schwer zu erreichender junger Menschen' (Arbeitsagentur)","Unterstützung für junge Menschen in schwierigen Lebenslagen, sog. 'schwer zu erreichender junger Menschen' (Arbeitsagentur)"
arbeit,schwer_erreichbare_junge_menschen_SGBII,"Unterstützung für junge Menschen in schwierigen Lebenslagen, sog. 'schwer zu erreichender junger Menschen' (Arbeitsagentur)","Unterstützung für junge Menschen in schwierigen Lebenslagen, sog. 'schwer zu erreichender junger Menschen' (Arbeitsagentur)"
kinder_familie,schwer_erreichbare_junge_menschen_SGBII,"Unterstützung für junge Menschen in schwierigen Lebenslagen, sog. 'schwer zu erreichender junger Menschen' (Arbeitsagentur)","Unterstützung für junge Menschen in schwierigen Lebenslagen, sog. 'schwer zu erreichender junger Menschen' (Arbeitsagentur)"
